Indiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,23.9,-2.6
201002,25.7,-4.5
201003,43.6,4.2
201004,57.3,6.4
201005,64.3,2.9
201006,74.1,3.5
201007,76.4,1.9
201008,75.6,3.2
201009,67.2,1.5
201010,56.0,2.0
201011,42.8,1.6
201012,24.3,-6.2
201101,23.7,-2.8
201102,31.2,1.0
201103,41.7,2.3
201104,53.0,2.1
201105,62.1,0.7
201106,72.2,1.6
201107,78.8,4.3
201108,73.1,0.7
201109,63.6,-2.1
201110,53.9,-0.1
201111,46.9,5.7
201112,36.6,6.1
201201,32.4,5.9
201202,35.4,5.2
201203,55.0,15.6
201204,52.9,2.0
201205,67.7,6.3
201206,71.6,1.0
201207,80.2,5.7
201208,71.9,-0.5
201209,64.2,-1.5
201210,52.1,-1.9
201211,40.0,-1.2
201212,38.2,7.7
201301,29.9,3.4
201302,30.2,0.0
201303,34.8,-4.6
201304,50.8,-0.1
201305,64.4,3.0
201306,70.8,0.2
201307,72.3,-2.2
201308,71.5,-0.9
201309,66.9,1.2
201310,54.3,0.3
201311,39.2,-2.0
201312,29.4,-1.1
201401,19.4,-7.1
201402,22.0,-8.2
201403,34.1,-5.3
201404,52.4,1.5
201405,62.9,1.5
201406,72.6,2.0
201407,69.1,-5.4
201408,72.4,0.0
201409,64.0,-1.7
201410,53.8,-0.2
201411,35.6,-5.6
201412,34.6,4.1
201501,25.3,-1.2
201502,19.3,-10.9
201503,37.2,-2.2
201504,52.9,2.0
201505,65.0,3.6
201506,71.0,0.4
201507,72.9,-1.6
201508,70.6,-1.8
201509,68.8,3.1
201510,55.6,1.6
201511,46.6,5.4
201512,42.5,12.0
201601,27.5,1.0
201602,33.9,3.7
201603,47.3,7.9
201604,52.0,1.1
201605,60.6,-0.8
201606,72.9,2.3
201607,74.6,0.1
201608,75.7,3.3
201609,69.9,4.2
201610,59.5,5.5
201611,47.0,5.8
201612,29.8,-0.7
201701,33.8,7.3
201702,41.3,11.1
201703,42.6,3.2
201704,57.0,6.1
201705,60.9,-0.5
201706,71.1,0.5
201707,74.2,-0.3
201708,70.0,-2.4
201709,67.2,1.5
201710,57.6,3.6
201711,42.4,1.2
201712,29.6,-0.9
201801,24.5,-2.0
201802,35.1,4.9
201803,38.2,-1.2
201804,45.1,-5.8
201805,69.7,8.3
201806,73.4,2.8
201807,74.1,-0.4
201808,74.0,1.6
201809,69.9,4.2
201810,54.9,0.9
201811,36.8,-4.4
201812,35.4,4.9
201901,27.0,0.5
201902,32.3,2.1
201903,37.2,-2.2
201904,52.2,1.3
201905,62.6,1.2
201906,69.9,-0.7
201907,76.3,1.8
201908,72.3,-0.1
201909,70.8,5.1
201910,55.5,1.5
201911,36.5,-4.7
201912,36.2,5.7
202001,34.3,7.8
202002,32.8,2.6
202003,44.6,5.2
202004,48.9,-2.0
202005,59.7,-1.7
202006,72.1,1.5
202007,76.5,2.0
202008,72.0,-0.4
202009,65.2,-0.5
202010,53.1,-0.9
202011,46.7,5.5
202012,33.6,3.1
202101,30.5,4.0
202102,23.8,-6.4
202103,45.8,6.4
202104,51.9,1.0
202105,59.7,-1.7
202106,72.7,2.1
202107,73.8,-0.7
202108,75.1,2.7
202109,68.5,2.8
202110,60.3,6.3
202111,40.0,-1.2
202112,40.6,10.1
202201,24.3,-2.2
