South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,40.7,-3.8
201002,41.2,-6.0
201003,52.2,-1.5
201004,64.5,2.4
201005,73.2,2.9
201006,81.8,4.8
201007,82.3,2.3
201008,81.6,2.9
201009,76.6,2.9
201010,64.4,1.2
201011,54.0,0.7
201012,38.3,-7.5
201101,40.6,-3.9
201102,50.4,3.2
201103,55.8,2.1
201104,65.0,2.9
201105,71.3,1.0
201106,80.8,3.8
201107,82.8,2.8
201108,81.4,2.7
201109,74.1,0.4
201110,61.0,-2.2
201111,55.3,2.0
201112,50.7,4.9
201201,48.3,3.8
201202,50.6,3.4
201203,63.2,9.5
201204,64.2,2.1
201205,72.7,2.4
201206,74.8,-2.2
201207,82.8,2.8
201208,78.0,-0.7
201209,73.6,-0.1
201210,63.7,0.5
201211,50.7,-2.6
201212,51.5,5.7
201301,50.2,5.7
201302,46.6,-0.6
201303,48.4,-5.3
201304,62.1,0.0
201305,67.9,-2.4
201306,77.4,0.4
201307,78.8,-1.2
201308,77.4,-1.3
201309,73.5,-0.2
201310,64.2,1.0
201311,51.5,-1.8
201312,49.9,4.1
201401,39.7,-4.8
201402,48.2,1.0
201403,50.0,-3.7
201404,63.3,1.2
201405,71.7,1.4
201406,78.4,1.4
201407,79.2,-0.8
201408,78.3,-0.4
201409,74.3,0.6
201410,65.0,1.8
201411,49.3,-4.0
201412,49.2,3.4
201501,43.8,-0.7
201502,41.0,-6.2
201503,56.4,2.7
201504,64.8,2.7
201505,71.6,1.3
201506,80.5,3.5
201507,82.2,2.2
201508,79.5,0.8
201509,74.3,0.6
201510,63.3,0.1
201511,58.0,4.7
201512,58.5,12.7
201601,43.0,-1.5
201602,48.0,0.8
201603,60.6,6.9
201604,63.1,1.0
201605,70.1,-0.2
201606,79.8,2.8
201607,83.7,3.7
201608,81.9,3.2
201609,77.1,3.4
201610,66.4,3.2
201611,55.6,2.3
201612,49.0,3.2
201701,51.4,6.9
201702,55.5,8.3
201703,55.5,1.8
201704,67.0,4.9
201705,71.5,1.2
201706,76.9,-0.1
201707,81.0,1.0
201708,79.4,0.7
201709,74.3,0.6
201710,66.2,3.0
201711,54.3,1.0
201712,47.8,2.0
201801,40.6,-3.9
201802,57.4,10.2
201803,52.0,-1.7
201804,60.0,-2.1
201805,73.8,3.5
201806,80.2,3.2
201807,80.2,0.2
201808,80.0,1.3
201809,79.4,5.7
201810,66.9,3.7
201811,51.9,-1.4
201812,48.6,2.8
201901,46.7,2.2
201902,53.0,5.8
201903,54.1,0.4
201904,64.0,1.9
201905,75.4,5.1
201906,77.2,0.2
201907,81.4,1.4
201908,80.3,1.6
201909,78.3,4.6
201910,68.5,5.3
201911,51.0,-2.3
201912,50.3,4.5
202001,50.3,5.8
202002,50.9,3.7
202003,60.4,6.7
202004,62.1,0.0
202005,68.0,-2.3
202006,76.1,-0.9
202007,81.9,1.9
202008,80.1,1.4
202009,73.3,-0.4
202010,67.4,4.2
202011,59.3,6.0
202012,45.6,-0.2
202101,46.1,1.6
202102,47.3,0.1
202103,57.7,4.0
202104,62.1,0.0
202105,69.1,-1.2
202106,76.8,-0.2
202107,79.4,-0.6
202108,80.1,1.4
202109,73.6,-0.1
202110,66.8,3.6
202111,51.7,-1.6
202112,54.6,8.8
202201,43.8,-0.7
