Nevada, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.45,0.29
201002,1.03,-0.08
201003,0.94,-0.13
201004,1.27,0.36
201005,1.07,0.09
201006,0.20,-0.50
201007,0.35,-0.19
201008,0.25,-0.35
201009,0.26,-0.31
201010,2.23,1.45
201011,1.19,0.32
201012,2.82,1.80
201101,0.29,-0.87
201102,0.83,-0.28
201103,1.57,0.50
201104,1.22,0.31
201105,1.53,0.55
201106,0.55,-0.15
201107,0.50,-0.04
201108,0.23,-0.37
201109,0.48,-0.09
201110,0.93,0.15
201111,0.38,-0.49
201112,0.11,-0.91
201201,0.95,-0.21
201202,0.53,-0.58
201203,1.01,-0.06
201204,0.67,-0.24
201205,0.30,-0.68
201206,0.09,-0.61
201207,0.85,0.31
201208,1.00,0.40
201209,0.53,-0.04
201210,0.67,-0.11
201211,0.48,-0.39
201212,1.81,0.79
201301,0.68,-0.48
201302,0.38,-0.73
201303,0.42,-0.65
201304,0.51,-0.40
201305,0.70,-0.28
201306,0.12,-0.58
201307,0.76,0.22
201308,0.54,-0.06
201309,1.39,0.82
201310,0.59,-0.19
201311,0.74,-0.13
201312,0.63,-0.39
201401,0.51,-0.65
201402,1.20,0.09
201403,1.03,-0.04
201404,0.66,-0.25
201405,0.79,-0.19
201406,0.12,-0.58
201407,0.77,0.23
201408,1.49,0.89
201409,1.19,0.62
201410,0.12,-0.66
201411,0.71,-0.16
201412,1.33,0.31
201501,0.50,-0.66
201502,0.58,-0.53
201503,0.38,-0.69
201504,0.70,-0.21
201505,2.11,1.13
201506,0.56,-0.14
201507,1.22,0.68
201508,0.49,-0.11
201509,0.34,-0.23
201510,1.83,1.05
201511,1.29,0.42
201512,1.34,0.32
201601,1.72,0.56
201602,0.48,-0.63
201603,1.01,-0.06
201604,1.58,0.67
201605,1.00,0.02
201606,0.43,-0.27
201607,0.21,-0.33
201608,0.32,-0.28
201609,0.60,0.03
201610,1.36,0.58
201611,0.48,-0.39
201612,1.96,0.94
201701,2.88,1.72
201702,1.56,0.45
201703,1.11,0.04
201704,1.12,0.21
201705,0.53,-0.45
201706,0.53,-0.17
201707,0.61,0.07
201708,0.63,0.03
201709,0.96,0.39
201710,0.17,-0.61
201711,0.88,0.01
201712,0.19,-0.83
201801,0.96,-0.20
201802,0.42,-0.69
201803,1.62,0.55
201804,0.86,-0.05
201805,1.48,0.50
201806,0.13,-0.57
201807,0.70,0.16
201808,0.22,-0.38
201809,0.04,-0.53
201810,1.09,0.31
201811,0.81,-0.06
201812,0.94,-0.08
201901,1.32,0.16
201902,2.41,1.30
201903,2.10,1.03
201904,1.24,0.33
201905,2.61,1.63
201906,0.32,-0.38
201907,0.26,-0.28
201908,0.19,-0.41
201909,0.80,0.23
201910,0.12,-0.66
201911,0.98,0.11
201912,1.46,0.44
202001,0.70,-0.46
202002,0.37,-0.74
202003,1.26,0.19
202004,0.68,-0.23
202005,0.63,-0.35
202006,0.56,-0.14
202007,0.10,-0.44
202008,0.12,-0.48
202009,0.07,-0.50
202010,0.06,-0.72
202011,0.72,-0.15
202012,0.59,-0.43
202101,0.95,-0.21
202102,0.82,-0.29
202103,0.89,-0.18
202104,0.43,-0.48
202105,0.67,-0.31
202106,0.17,-0.53
202107,0.84,0.30
202108,0.24,-0.36
202109,0.27,-0.30
202110,2.00,1.22
202111,0.18,-0.69
202112,2.14,1.12
202201,0.14,-1.02
202202,0.22,-0.89
202203,0.57,-0.50
